TIGR00001	ribosomal protein L35
TIGR03035	arylformamidase
TIGR03036	tryptophan 2,3-dioxygenase
TIGR03037	3-hydroxyanthranilate 3,4-dioxygenase
TIGR03038	photosystem II reaction center protein PsbM
TIGR03039	photosystem II chlorophyll-binding protein CP47
TIGR03041	chlorophyll a/b binding light-harvesting protein
TIGR03042	photosystem II protein PsbQ
TIGR03043	photosystem II core protein PsbZ
TIGR03044	photosystem II protein Psb27
TIGR03045	cytochrome c-550
TIGR03046	photosystem II cytochrome PsbV2
TIGR03047	photosystem II reaction center protein Psb28
TIGR03048	photosystem I iron-sulfur protein PsaC
TIGR03049	photosystem I reaction center subunit PsaK
TIGR03050	photosystem I reaction center PsaK
TIGR03051	photosystem I reaction center subunit V
TIGR03052	photosystem I reaction center subunit VIII
TIGR03053	photosystem I reaction center subunit XII
TIGR03054	putative photosynthetic complex assembly protein
TIGR03055	putative photosynthetic complex assembly protein 2
TIGR03056	putative magnesium chelatase accessory protein
TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
TIGR03058	chlorosome envelope protein H
TIGR03059	photosystem I protein PsaO
TIGR03060	photosystem II biogenesis protein Psp29
TIGR03061	YhgE/Pip N-terminal domain
TIGR03062	YhgE/Pip C-terminal domain
TIGR03063	sortase B cell surface sorting signal
TIGR03064	sortase, SrtB family
TIGR03065	sortase B signal domain, QVPTGV class
TIGR03066	Gemmata obscuriglobus paralogous family TIGR03066
TIGR03067	Planctomycetes uncharacterized domain TIGR03067
TIGR03068	sortase B signal domain, NPQTN class
TIGR03069	photosystem II S4 domain protein
TIGR03070	transcriptional regulator, y4mF family
TIGR03071	HipA N-terminal domain
TIGR03072	putative peptide chain release factor H
TIGR03073	release factor H-coupled RctB family protein
TIGR03074	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family
TIGR03075	PQQ-dependent dehydrogenase, methanol/ethanol family
TIGR03076	chlamydial GcvH-like protein upstream region protein
TIGR03077	glycine cleavage protein H-like protein
TIGR03078	methane monooxygenase/ammonia monooxygenase, subunit C
TIGR03079	methane monooxygenase/ammonia monooxygenase, subunit B
TIGR03080	methane monooxygenase/ammonia monooxygenase, subunit A
TIGR03081	methylmalonyl-CoA epimerase
TIGR03082	membrane protein AbrB duplication
TIGR03083	uncharacterized Actinobacterial protein TIGR03083
TIGR03084	TIGR03084 family protein
TIGR03085	TIGR03085 family protein
TIGR03086	TIGR03086 family protein
TIGR03087	sugar transferase, PEP-CTERM/EpsH1 system associated
TIGR03088	sugar transferase, PEP-CTERM/EpsH1 system associated
TIGR03089	TIGR03089 family protein
TIGR03090	small, acid-soluble spore protein tlp
TIGR03091	small, acid-soluble spore protein K
TIGR03092	small, acid-soluble spore protein I
TIGR03093	small, acid-soluble spore protein L
TIGR03094	sulfocyanin
TIGR03095	rusticyanin
TIGR03096	nitrosocyanin
TIGR03097	probable O-glycosylation ligase, exosortase A-associated
TIGR03098	acyl-CoA ligase (AMP-forming), exosortase A-associated
TIGR03099	pyridoxal-dependent decarboxylase, exosortase A system-associated
TIGR03100	exosortase A system-associated hydrolase 1
TIGR03101	exosortase A system-associated hydrolase 2
TIGR03102	halocyanin domain
TIGR03103	GNAT-family acetyltransferase TIGR03103
TIGR03104	asparagine synthase family amidotransferase
TIGR03105	glutamine synthetase, type III
TIGR03106	hydrolase, peptidase M42 family
TIGR03107	glutamyl aminopeptidase
TIGR03108	exosortase A system-associated amidotransferase 1
TIGR03109	exosortase A
TIGR03110	exosortase family protein XrtG
TIGR03111	putative glycosyltransferase, exosortase G-associated
TIGR03112	6-pyruvoyl tetrahydropterin synthase-related domain
TIGR03113	exosortase B
TIGR03114	CRISPR type AFERR-associated protein Csf1
TIGR03115	CRISPR type AFERR-associated protein Csf2
TIGR03116	CRISPR type AFERR-associated protein Csf3
TIGR03117	CRISPR type AFERR-associated DEAD/DEAH-box helicase Csf4
TIGR03118	TIGR03118 family protein
TIGR03119	formylmethanofuran--tetrahydromethanopterin N-formyltransferase
TIGR03120	methenyltetrahydromethanopterin cyclohydrolase
TIGR03121	formylmethanofuran dehydrogenase subunit A
TIGR03122	formylmethanofuran dehydrogenase subunit C
TIGR03123	probable H4MPT-linked C1 transfer pathway protein
TIGR03124	holo-ACP synthase CitX
TIGR03125	triphosphoribosyl-dephospho-CoA synthase CitG
TIGR03126	formaldehyde-activating enzyme
TIGR03127	6-phospho 3-hexuloisomerase
TIGR03128	3-hexulose-6-phosphate synthase
TIGR03129	formylmethanofuran dehydrogenase subunit B
TIGR03130	malonate decarboxylase acyl carrier protein
TIGR03131	malonate decarboxylase, epsilon subunit
TIGR03132	triphosphoribosyl-dephospho-CoA synthase MdcB
TIGR03133	biotin-independent malonate decarboxylase, beta subunit
TIGR03134	biotin-independent malonate decarboxylase, gamma subunit
TIGR03135	malonate decarboxylase holo-[acyl-carrier-protein] synthase
TIGR03136	Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit
TIGR03137	peroxiredoxin
TIGR03138	queuine synthase
TIGR03139	7-cyano-7-deazaguanine reductase
TIGR03140	alkyl hydroperoxide reductase subunit F
TIGR03141	heme exporter protein CcmD
TIGR03142	cytochrome c-type biogenesis protein CcmI
TIGR03143	putative alkyl hydroperoxide reductase F subunit
TIGR03144	cytochrome c-type biogenesis protein CcsB
TIGR03145	cytochrome c nitrate reductase biogenesis protein NrfE
TIGR03146	cytochrome c nitrite reductase, pentaheme subunit
TIGR03147	cytochrome c nitrite reductase, accessory protein NrfF
TIGR03148	cytochrome c nitrite reductase, NrfD subunit
TIGR03149	cytochrome c nitrite reductase, Fe-S protein
TIGR03150	beta-ketoacyl-acyl-carrier-protein synthase II
TIGR03151	putative enoyl-[acyl-carrier-protein] reductase II
TIGR03152	formate-dependent cytochrome c nitrite reductase, c552 subunit
TIGR03153	cytochrome c nitrite reductase, small subunit
TIGR03154	cytochrome b558/566, subunit A
TIGR03155	cytochrome b558/566, subunit B
TIGR03156	GTP-binding protein HflX
TIGR03157	CRISPR type I-D/CYANO-associated protein Csc2
TIGR03158	CRISPR-associated helicase Cas3, subtype CYANO
TIGR03159	CRISPR type I-D/CYANO-associated protein Csc1
TIGR03160	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
TIGR03161	alpha-ribazole phosphatase CobZ
TIGR03162	alpha-ribazole phosphatase
TIGR03164	OHCU decarboxylase
TIGR03165	F1/F0 ATPase, Methanosarcina type, subunit 2
TIGR03166	alternate F1F0 ATPase, F1 subunit epsilon
TIGR03167	tRNA 2-selenouridine synthase
TIGR03168	hexose kinase, 1-phosphofructokinase family
TIGR03169	pyridine nucleotide-disulfide oxidoreductase family protein
TIGR03170	flagella basal body P-ring formation protein FlgA
TIGR03171	Rieske iron-sulfur protein SoxL2
TIGR03172	putative selenium-dependent hydroxylase accessory protein YqeC
TIGR03173	xanthine permease
TIGR03174	CRISPR type I-D/CYANO-associated protein Csc3/Cas10d
TIGR03175	ureidoglycolate dehydrogenase
TIGR03176	allantoate amidohydrolase
TIGR03177	Flp pilus assembly protein CpaB
TIGR03178	allantoinase
TIGR03180	OHCU decarboxylase
TIGR03181	pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit
TIGR03182	pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit
TIGR03183	putative sulfurtransferase DndC
TIGR03184	DNA sulfur modification protein DndE
TIGR03185	DNA sulfur modification protein DndD
TIGR03186	alpha-ketoglutarate dehydrogenase
TIGR03187	DGQHR domain
TIGR03188	phosphoribosyl-ATP diphosphatase
TIGR03189	cyclohexa-1,5-dienecarbonyl-CoA hydratase
TIGR03190	benzoyl-CoA reductase, bzd-type, N subunit
TIGR03191	benzoyl-CoA reductase, bzd-type, O subunit
TIGR03192	benzoyl-CoA reductase, bzd-type, Q subunit
TIGR03193	4-hydroxybenzoyl-CoA reductase, gamma subunit
TIGR03194	4-hydroxybenzoyl-CoA reductase, alpha subunit
TIGR03195	4-hydroxybenzoyl-CoA reductase, beta subunit
TIGR03196	xanthine dehydrogenase D subunit
TIGR03197	tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC, C-terminal domain
TIGR03198	xanthine dehydrogenase E subunit
TIGR03199	xanthine dehydrogenase C subunit
TIGR03200	6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase
TIGR03201	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
TIGR03202	xanthine dehydrogenase accessory protein pucB
TIGR03203	pimeloyl-CoA dehydrogenase, small subunit
TIGR03204	pimeloyl-CoA dehydrogenase, large subunit
TIGR03205	dicarboxylate--CoA ligase PimA
TIGR03206	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
TIGR03207	cyclohexanecarboxyl-CoA dehydrogenase
TIGR03208	cyclohexanecarboxylate-CoA ligase
TIGR03209	transcriptional regulator BotR, P-21
TIGR03210	2-ketocyclohexanecarboxyl-CoA hydrolase
TIGR03211	catechol 2,3 dioxygenase
TIGR03212	putative urate catabolism protein
TIGR03213	2,3-dihydroxybiphenyl 1,2-dioxygenase
TIGR03214	putative allantoin catabolism protein
TIGR03215	acetaldehyde dehydrogenase (acetylating)
TIGR03216	2-hydroxymuconic semialdehyde dehydrogenase
TIGR03217	4-hydroxy-2-oxovalerate aldolase
TIGR03218	4-oxalocrotonate decarboxylase
TIGR03219	salicylate 1-monooxygenase
TIGR03220	2-oxopent-4-enoate hydratase
TIGR03221	muconolactone delta-isomerase
TIGR03222	benzoyl-CoA-dihydrodiol lyase
TIGR03223	putative phosphonate metabolism protein
TIGR03224	benzoyl-CoA oxygenase/reductase, BoxA protein
TIGR03225	benzoyl-CoA oxygenase, B subunit
TIGR03226	2-aminoethylphosphonate ABC transporter, permease protein
TIGR03227	2-aminoethylphosphonate ABC transporter, 2-aminoethylphosphonate binding protein
TIGR03228	anthranilate 1,2-dioxygenase, large subunit
TIGR03229	benzoate 1,2-dioxygenase, large subunit
TIGR03230	lipoprotein lipase
TIGR03231	anthranilate 1,2-dioxygenase, small subunit
TIGR03232	benzoate 1,2-dioxygenase, small subunit
TIGR03233	DNA sulfur modification protein DndB
TIGR03234	hydroxypyruvate isomerase
TIGR03235	cysteine desulfurase DndA
TIGR03236	DNA phosphorothioation-dependent restriction protein DptG
TIGR03237	DNA phosphorothioation-dependent restriction protein DptH
TIGR03238	DNA phosphorothioation-dependent restriction protein DptF
TIGR03239	2-dehydro-3-deoxyglucarate aldolase
TIGR03240	succinylglutamate-semialdehyde dehydrogenase
TIGR03241	succinylarginine dihydrolase
TIGR03242	succinylglutamate desuccinylase
TIGR03243	arginine and ornithine succinyltransferase subunits
TIGR03244	arginine N-succinyltransferase
TIGR03245	arginine/ornithine succinyltransferase, alpha subunit
TIGR03246	succinylornithine transaminase family
TIGR03247	glucarate dehydratase
TIGR03248	galactarate dehydratase
TIGR03249	5-dehydro-4-deoxyglucarate dehydratase
TIGR03250	putative phosphonoacetaldehyde dehydrogenase
TIGR03251	L-lysine 6-transaminase
TIGR03252	uncharacterized HhH-GPD family protein
TIGR03253	formyl-CoA transferase
TIGR03254	oxalyl-CoA decarboxylase
TIGR03255	2-aminoethylphosphonate ABC transport system, membrane component PhnV
TIGR03256	methyl-coenzyme M reductase, alpha subunit
TIGR03257	methyl-coenzyme M reductase, beta subunit
TIGR03258	2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT
TIGR03259	methyl-coenzyme M reductase, gamma subunit
TIGR03260	methyl-coenzyme M reductase operon protein D
TIGR03261	putative 2-aminoethylphosphonate ABC transporter, periplasmic 2-aminoethylphosphonate-binding protein
TIGR03262	putative 2-aminoethylphosphonate ABC transporter, permease protein
TIGR03263	guanylate kinase
TIGR03264	methyl-coenzyme M reductase I operon protein C
TIGR03265	putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein
TIGR03266	putative methanogenesis marker protein 1
TIGR03267	putative methanogenesis marker protein 2
TIGR03268	putative methanogenesis marker protein 3
TIGR03269	methyl coenzyme M reductase system, component A2
TIGR03270	putative methanogen marker protein 4
TIGR03271	putative methanogenesis marker protein 5
TIGR03272	putative methanogenesis marker protein 6
TIGR03274	putative methanogenesis marker protein 7
TIGR03275	putative methanogenesis marker protein 8
TIGR03276	phosphonate degradation operons associated HDIG domain protein
TIGR03277	putative methanogenesis marker domain 9
TIGR03278	methanogenesis marker radical SAM protein
TIGR03279	putative radical SAM enzyme, TIGR03279 family
TIGR03280	methanogenesis imperfect marker protein 11
TIGR03281	putative methanogenesis marker protein 12
TIGR03282	putative methanogenesis marker 13 metalloprotein
TIGR03283	thymidylate synthase, methanogen type
TIGR03284	thymidylate synthase
TIGR03285	putative methanogenesis marker protein 14
TIGR03286	putative methanogenesis marker protein 15
TIGR03287	putative methanogenesis marker 16 metalloprotein
TIGR03288	CoB--CoM heterodisulfide reductase, subunit B
TIGR03289	coenzyme F420 hydrogenase, subunit beta
TIGR03290	CoB--CoM heterodisulfide reductase, subunit C
TIGR03291	putative methanogenesis marker protein 17
TIGR03292	phosphonate C-P lyase system protein PhnH
TIGR03293	phosphonate C-P lyase system protein PhnG
TIGR03294	coenzyme F420 hydrogenase, subunit gamma
TIGR03295	coenzyme F420 hydrogenase, subunit alpha
TIGR03296	M6 family metalloprotease domain
TIGR03297	phosphonopyruvate decarboxylase
TIGR03298	transcriptional regulator, ArgP family
TIGR03299	phage/plasmid-like protein TIGR03299
TIGR03300	outer membrane assembly lipoprotein YfgL
TIGR03301	2-aminoethylphosphonate aminotransferase
TIGR03302	outer membrane assembly lipoprotein YfiO
TIGR03303	outer membrane protein assembly complex, YaeT protein
TIGR03304	outer membrane insertion C-terminal signal
TIGR03305	alternate F1F0 ATPase, F1 subunit beta
TIGR03306	alternate F1F0 ATPase, F0 subunit A
TIGR03307	phosphonate metabolism protein PhnP
TIGR03308	phosphonate metabolim protein, transferase hexapeptide repeat family
TIGR03309	selenium-dependent molybdenum hydroxylase system protein, YqeB family
TIGR03310	molybdenum cofactor cytidylyltransferase
TIGR03311	selenium-dependent xanthine dehydrogenase
TIGR03312	probable selenate reductase, FAD-binding subunit
TIGR03313	probable selenate reductase, molybdenum-binding subunit
TIGR03314	putative selenium metabolism protein SsnA
TIGR03315	putative selenate reductase, YgfK subunit
TIGR03316	knotted carbamoyltransferase YgeW
TIGR03317	folate-binding protein YgfZ
TIGR03318	putative selenium-binding protein YdfZ
TIGR03319	ribonuclease Y
TIGR03321	alternate F1F0 ATPase, F0 subunit B
TIGR03322	alternate F1F0 ATPase, F0 subunit C
TIGR03323	alternate F1F0 ATPase, F1 subunit gamma
TIGR03324	alternate F1F0 ATPase, F1 subunit alpha
TIGR03325	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase
TIGR03326	ribulose bisphosphate carboxylase, type III
TIGR03327	AMP phosphorylase
TIGR03328	methylthioribulose-1-phosphate dehydratase
TIGR03329	putative aminophosphonate oxidoreductase
TIGR03330	S-adenosylmethionine decarboxylase proenzyme
TIGR03331	S-adenosylmethionine decarboxylase proenzyme
TIGR03332	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
TIGR03333	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
TIGR03334	indolepyruvate ferredoxin oxidoreductase, beta subunit
TIGR03335	coenzyme F390 synthetase
TIGR03336	indolepyruvate ferredoxin oxidoreductase, alpha subunit
TIGR03337	phosphonate utilization transcriptional regulator PhnR
TIGR03338	phosphonate utilization associated transcriptional regulator
TIGR03339	aminoethylphosphonate catabolism associated LysR family transcriptional regulator
TIGR03340	phosphonate utilization associated putative membrane protein
TIGR03341	IscR-regulated protein YhgI
TIGR03342	sulfur relay protein, TusE/DsrC/DsvC family
TIGR03343	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase
TIGR03344	type VI secretion system effector, Hcp1 family
TIGR03345	type VI secretion ATPase, ClpV1 family
TIGR03346	ATP-dependent chaperone protein ClpB
TIGR03347	type VI secretion protein, VC_A0111 family
TIGR03348	type VI secretion protein IcmF
TIGR03349	type IV/VI secretion system protein, DotU family
TIGR03350	type VI secretion system peptidoglycan-associated domain
TIGR03351	phosphonatase-like hydrolase
TIGR03352	type VI secretion lipoprotein, VC_A0113 family
TIGR03353	type VI secretion protein, VC_A0114 family
TIGR03354	type VI secretion system FHA domain protein
TIGR03355	type VI secretion protein, EvpB/VC_A0108 family
TIGR03356	beta-galactosidase
TIGR03357	type VI secretion system lysozyme-like protein
TIGR03358	type VI secretion protein, VC_A0107 family
TIGR03359	type VI secretion protein, TIGR03359 family
TIGR03360	type VI secretion-associated protein, VC_A0118 family
TIGR03361	type VI secretion system Vgr family protein
TIGR03362	type VI secretion-associated protein, VC_A0119 family
TIGR03363	type VI secretion-associated protein, ImpA family
TIGR03364	FAD dependent oxidoreductase TIGR03364
TIGR03365	7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE
TIGR03366	putative phosphonate catabolism associated alcohol dehydrogenase
TIGR03367	queuosine biosynthesis protein QueD
TIGR03368	cellulose synthase operon protein YhjU
TIGR03369	cellulose biosynthesis protein BcsE
TIGR03370	VPLPA-CTERM protein sorting domain
TIGR03371	cellulose synthase operon protein YhjQ
TIGR03372	putrescine aminotransferase
