UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
ENZRXN66-1747	galactosylgalactosylxylosylprotein 3-&beta;-glucuronosyltransferase
ENZRXN-16372	indole-3-acetyl-methionine synthetase
ENZRXN-701	F<SUB>420</SUB>-dependent methylene-H<SUB>4</SUB>MPT reductase
ENZRXN-17755	methylthioalkylmalate isomerase
ENZRXN-17870	3-hydroxypimeloyl-[acp] methyl ester dehydratase
ENZRXN-14252	phosphoglucomutase
ENZRXN0-6564	peptidoglycan glycosyltransferase
ENZRXN0-7647	uridine 2'3'-cyclic phosphodiesterase
ENZRXN-18423	DMNT synthase
ENZRXN-20272	3-oxo-behenyl-CoA synthase
ENZRXN-21631	saturated archaetidylinositol phosphate phosphatase
ENZRXN-11121	<i>myo</i>-inositol kinase
ENZRXN-14194	3-methyl-4-nitrocatechol 2,3-dioxygenase
ENZRXN-21749	4-hydroxyphenylpyruvate carboxy-lyase
ENZRXN-16615	L-thyroxine sulfotransferase
GLYCOPHOSPHORYL-ENZRXN	glycogen phosphorylase
PYRUVFORMLY-ENZRXN	pyruvate formate-lyase
ENZRXN1A0-6309	S-[acp] 6-(3'-hydroxy-2'-(3''-oxobutanoyl)phenyl)-3,5-dioxohexanethioate cyclase
ENZRXN-4564	3-ketolactose hydrolase
ENZRXN0-3841	tRNA sulfurtransferase
ENZRXN-12366	eriodictyol,NADPH:oxygen oxidoreductase
ENZRXN-16544	pectinesterase
ENZRXN0-5801	ADP-ribose pyrophosphatase
ENZRXN-20464	daphnetin 7-O-glucosyltransferase
ENZRXN-17724	sphingoid 1-phosphate lyase
ENZRXN-17972	(22S)-22-hydroxy-campest-4-en-3-one C-23 hydroxylase
ENZRXN-13652	abietadiene synthase
ENZRXN-15070	versiconal acetate synthase
ENZRXN-1804	phosphatidate phosphatase
ENZRXN-18717	oleate omega-hydroxylase
ENZRXN-20402	premithramycin B monooxygenase
ENZRXN-11852	acetylornithine transaminase
ENZRXN-15811	dihydroorotate dehydrogenase
ENZRXN-13868	aspartate aminotransferase
ENZRXN-17349	hydroxyphenyl-4,2-bis-thiazoline reductase
ENZRXN0-2961	tRNA (Gm18) 2'-O-methyltransferase
ENZRXN-2463	benzoic acid 2-hydroxylase
ENZRXN-2783	ATP PPRTase
ENZRXN-6303	isopentenyladenine:FAD oxidoreductase
ENZRXN-19875	glutamate--ethylamine ligase
ENZRXN-13802	tetrahydropalmatine oxidase
ENZRXN-21210	bisdemethoxycurcumin synthase
ENZRXN-13099	N-methylputrescine oxidase
ENZRXN4FS-3	N-methylphosphoethanolamine cytidylyltransferase
ENZRXN-15028	L-glutamine:2-keto-<i>myo</i>-inositol aminotransferase
ENZRXN0-6271	c-di-GMP phosphodiesterase
ENZRXN0-6417	glycerol-3-phosphate dehydrogenase
BIOTIN-CARBOXYL-ENZRXN	biotin carboxylase
ENZRXN-14610	3,5-dihydroxyanisole <i>O</i>-methyltransferase
ENZRXN3DJ-11446	sphingosine kinase
ENZRXN-2001	3-oxo-deoxycholyl-CoA oxidoreductase
ENZRXN0-7429	4-hydroxy-L-threonine aldolase
ENZRXN-10405	phosphoserine aminotransferase
ENZRXN-17312	galactofuran:UDP-D-galacto-1,4-furanose UDP-galactofuranosyl-(1->6)-transferase
ENZRXN-15331	&Delta;<sup>12</sup> linoleate epoxygenase (fatty acid desaturase-like)
ENZRXN-15421	UDP-glucose:4-hydroxylamino-2,6-dinitrotoluene O-glucosyltransferase
ENZRXN-12014	allantoinase
ENZRXN-20809	dTDP-3-oxo-3,4,6-trideoxy-&alpha;-D-glucopyranose transaminase
ENZRXN-16195	2-chlorophenol,NADPH:oxygen oxidoreductase
ENZRXN3O-521	phytosphingosine kinase
NADNUCLEOSID-ENZRXN	NAD(+) nucleosidase
ENZRXN-12231	<i>ent</i>-kaur-16-en-19-oate,NADPH:oxygen oxidoreductase (hydroxylating)
ENZRXN-21177	2,5-didehydrogluconate reductase (2-keto-L-gulonate forming)
ENZRXN-17583	D-alanine--D-serine ligase
ENZRXN-13263	1-18:2-2-18:3-monogalactosyldiacylglycerol synthase
ENZRXNIO2-1	pyruvate:ferredoxin oxidoreductase
ENZRXN-19442	2-acetamido-4-<i>O</i>-(2-amino-2-deoxy-&beta;-D-glucopyranosyl)-2-deoxy-D-glucose exo-&beta;-D-glucosaminidase
ENZRXN-18329	dye-decolorizing peroxidase
ENZRXN-1001	Sox enzyme system
ENZRXN-17873	3-oxo-pimeloyl-[acp] methyl ester synthase
ENZRXN-18415	<i>N,N</i>-dihydroxy-L-isoleucine decarboxylase
ENZRXN-18607	calcidiol 24-hydroxylase
ENZRXN-9241	fructokinase
ENZRXN-14570	alanine--glyoxylate aminotransferase
ENZRXN-19378	santalene synthase
ENZRXN-21536	1D-<i>chiro</i>-inositol 2-dehydrogenase
ENZRXN-20185	5''-phosphoribosylparomamine phosphatase
ENZRXN0-807	2'-deoxyguanosine 5'-diphosphate:oxidized NrdH glutaredoxin-like protein oxidoreductase
ENZRXN-12156	1,4-&alpha;-glucan branching enzyme
ENZRXN66-2643	3-hydroxyacyl-CoA dehydrogenase type-2
ENZRXN-21752	methionol reductase
ENZRXN-5862	maltooligosyl-trehalose trehalohydrolase
ENZRXN-20773	9-<i>cis</i>-&beta;-carotene 9',10'-cleavage dioxygenase
ENZRXN-21466	baicalin &beta;-<i>D</i>-glucuronidase
THI-P-SYN-ENZRXN	thiamine phosphate synthase
ENZRXN-1803	phosphatidate phosphatase
ENZRXN-16936	gallate dioxygenase
ENZRXN-4161	malonate semialdehyde dehydrogenase
ENZRXN-18544	carotenoid oxygenase
ENZRXN0-5862	undecaprenyl pyrophosphate phosphatase
ENZRXN1G-344	trans-delta2-cis-delta9-C28:2-[acp]:NADH+ oxidoreductase (B-specific)
ENZRXN8J2-710	levansucrase
ENZRXN-12806	amorpha-4,11-diene synthase
ENZRXN-12869	dimethylsulfide:MtsB protein methyltransferase
ENZRXN-2722	phosphoglycerate mutase
ENZRXN-18927	enone reductase
ENZRXN-13577	&beta;-phellandrene synthase
ENZRXN-5383	5,10-methylenetetrahydrofolate reductase
ENZRXN-15202	27-<i>O</i>-demethyl-25-<i>O</i>-desacetyl-rifamycin SV <i>O</i>-acetyltransferase
ENZRXN-16082	a trans-hexacos-2-enoyl-[acp] reductase
ENZRXN-9004	UDPG:p-aminobenzoate glucosyltransferase
ENZRXN-14883	10-hydroxygeraniol oxidoreductase
ENZRXN0-6401	isopentenyl-diphosphate:NAD(P)+ oxidoreductase
ENZRXN-70	gibberellin A20,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-14960	(4R,7R)-4-isopropenyl-7-methyloxepan-2-one hydrolase
ENZRXN-15726	(+)-5-chloromuconate lyase (decyclizing)
ENZRXN1G-1640	arabinogalactan: trehalose-cis-methoxy-mycolate mycolyltransferase
ENZRXN-17466	curcumin synthase
ENZRXN-15411	methanthiol oxidase
ENZRXN-18229	L-cysteate sulfo-lyase
ENZRXN-14185	hydroxylaminobenzene mutase
ENZRXN66-238	Steroid Delta-isomerase
ENZRXNQT-7452	ribonucleoside-diphosphate kinase
GABATRANSAM-ENZRXN	4-aminobutyrate transaminase
ENZRXN-19777	5-hydroxy-3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA dehydrogenase
ENZRXN-17650	laurate hydroxylase
ENZRXN-16020	acyl-homoserine-lactone synthase
ENZRXN-16518	<i>endo</i>-&beta;-bergamontene synthase
ENZRXN-19257	&lambda;-carrageenase
ENZRXN-20074	phenylalanine ammonia lyase
ENZRXN-12536	6-isobutyl-4-hydroxy-2-pyrone synthase
ENZRXN0-1632	protein-tyrosine-phosphatase
ENZRXN-17656	pyrrolysyl-tRNA synthetase
ENZRXN-19430	all-trans-retinyl-ester hydrolase
ENZRXN-20393	(2S)-2-hydroxy-2-[4,5,7,10-tetrahydroxy-3-(3-oxobutanoyl)anthracen-2-yl]acetate dehydrogenase
ACETYLORNTRANSAM-ENZRXN	acetylornithine aminotransferase
ENZRXN-18163	fatty acid &Delta;<sup>6</sup>-desaturase
ENZRXN-21344	2'-deoxyguanosine kinase
ENZRXN-3443	&gamma;-tocopherol methyltransferase
ENZRXN-16905	24-epibrassinolide sulfotransferase
ENZRXN66-6196	heparan sulfate <i>N</i>-sulfotransferase
ENZRXN0-2570	short chain acyl-CoA synthetase
ENZRXN-21528	JI-20A 3'-phosphorylase
ENZRXN-13793	(-)-secoisolariciresinol dehydrogenase
ENZRXN-11937	formiminoglutamate deiminase
ENZRXN-3223	benzoate-CoA ligase
ENZRXN-12689	4-hydroxy-2-ketoglutarate aldolase
ENZRXN-13466	colnelenate synthase
ENZRXN-18892	15,9'-di-<i>cis</i>-phytofluene desaturase
ENZRXN-17167	1-diphosphoinositol pentakisphosphate 5-kinase
SUPEROX-DISMUTMN-ENZRXN	superoxide dismutase
ENZRXN-20000	L-dopa oxidase
ENZRXN-17230	pre-bisucaberin synthetase
ENZRXN-13185	1-18:1-2-16:2-monogalactosyldiacylglycerol desaturase
ENZRXN-13396	NaMN nucleosidase
ENZRXN-14763	isoandrocymbine O-methyltransferase
ENZRXN-12859	F<sub>420</sub>H<sub>2</sub> dehydrogenase
ENZRXN-15619	3,5-dichlorocatechol 1,2-dioxygenase
ENZRXN3O-462	pyruvate decarboxylase
ENZRXN-6941	&alpha;-pinene synthase
ENZRXN-19164	lycopene dioxygenase
ENZRXN-21111	NAD-glycohydrolase
ENZRXN0-762	6-phospho-&beta;-D-glucosyl-(1,4)-D-glucose glucohydrolase
ENZRXN-14951	(1R,4S)-iso-dihydrocarvone monooxygenase
ENZRXN-15554	lignin peroxidase
ENOYL-COA-DELTA-ISOM-ENZRXN	&Delta;<SUP>3</SUP>-cis-&Delta;<SUP>2</SUP>-trans-enoyl-CoA isomerase
ENZRXNQT-12635	myo-inositol 3-phosphate monophosphatase
ENZRXN-19666	4-methylumbelliferyl glucoside 6'-O malonyltransferase
ENZRXN-14154	(S)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase (epoxyalkane-ring-forming)
ENZRXN-21044	allocryptopine 6-hydroxylase
ENZRXN-8787	7,8-diaminopelargonic acid aminotransferase
FORMYLTHFGLUSYNTH-ENZRXN	10-formyl-tetrahydrofolylpolyglutamate synthetase
ENZRXN-12145	UDP-&alpha;-D-glucose:glycogenin &alpha;-D-glucosyltransferase
PRIBFAICARPISOM-ENZRXN	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase
ENZRXN-19594	1-deoxy-11-oxopentalenate oxygenase
ENZRXN-9826	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-11724	xanthone synthase
ENZRXN-16470	indole-3-acetyl-proline synthetase
ENZRXN-8326	kynurenine 3-monooxygenase
ENZRXN-14500	NADPH:germacrene acid oxidoreductase
ENZRXN0-254	thiol peroxidase
ENZRXN-18535	5-dehydroavenasterol &Delta;<sup>7</sup> reductase
ENZRXN-17948	germacrene A synthase
ENZRXN-12999	16-methoxy-2,3-dihydro-3-hydroxy-tabersonine-N-methyltransferase
ENZRXN66-4284	glycogen phosphorylase
ENZRXN-13070	UDP-D-glucose:delphinidin-3-<i>O</i>-&beta;-D-glucoside 5-O-glucosyltransferase
ENZRXN-20362	very-long-chain 3-oxoacyl-CoA reductase
ENZRXN-1444	shikimate kinase
ENZRXN66-704	Long-chain-fatty-acid--CoA ligase 3
ENZRXN-5305	4-toluene-sulfonate monooxygenase
ENZRXN-16841	carboxyphosphinopyruvate decarboxylase
ENZRXN-2385	(R)-sulfolactate dehydrogenase
ENZRXN0-726	L-xylulose 5-phosphate 3-epimerase
ENZRXN-17059	phosphatidylinositol-3-phosphate 3-phosphatase
ENZRXN-17222	putrescine hydroxylase
ENZRXN0-7400	glutamate-pyruvate aminotransferase
ENZRXN1G-1445	6-O-mycolyl-trehalose-6-phosphatase
ENZRXN-13754	fructose-1-phosphate aldolase
ENZRXN-16776	Sep-tRNA:Cys-tRNA synthase
ENZRXN-20707	linustatinase (&beta;-diglucosidase)
ENZRXN0-6246	phosphotyrosine-protein phosphatase
ENZRXN-21101	3,7,4'-trimethylquercetagetin 6-<i>O</i>-methyltransferase
HYDROPEROXIDII-ENZRXN	catalase
ENZRXN-16011	potassium channel
ENZRXN-19049	geraniol kinase
MCPMETEST-ENZRXN	PGluMase
ENZRXN-19968	lipoate&mdash;protein ligase
ENZRXN-20642	D-galactosamine-6-phosphate deaminase / isomerase
ENZRXN66-777	hyaluronidase
ENZRXN-8741	glycine betaine-homocysteine methyltransferase
ENZRXN-18154	acylating sulfoacetaldehyde dehydrogenase
ENZRXN-15298	3-oxo-octanoyl-[acp] synthase
ENZRXN-17783	D-glucuronate dehydrogenase
ENZRXN-20935	&omega;-hydroxypalmitate O-feruloyl transferase
ENZRXN-17845	pectate lyase
ENZRXN3O-40	6,7-dimethyl-8-ribityllumazine synthase
ENZRXN-14027	phosphoacetylglucosamine mutase
ENZRXN-14094	L-gulono-&gamma;-lactone oxidase
ENZRXN-14490	propionyl CoA carboxylase
ENZRXN-3188	2,5-diketocamphane 1,2-monooxygenase
ENZRXN-17555	glutamate racemase
ENZRXN-2166	2-aminobenzenesulfonate,NADH:oxygen oxidoreductase (2,3-hydroxylating, ammonia-forming)
ENZRXN-784	phosphoribosylglycinamide formyltransferase
ENZRXN-21722	ribitol dehydrogenase
DIHYDROXYMETVALDEHYDRAT-ENZRXN	2,3-dihydroxy-3-methylvalerate hydro-lyase
ENZRXN66-18858	&beta;-nicotinamide D-ribonucleotide phosphohydrolase
ENZRXN-16829	NAD(P)+-dependent succinate semialdehyde dehydrogenase
ENZRXN-13387	fructose-6-phosphate phosphoketolase
ENZRXN66-19649	lipoxin A4 synthase
ENZRXN-19347	mitochondrial tRNA pseudouridine<sup>27/28</sup> synthase
ENZRXN0-4301	serine protease
ENZRXN-14297	glutathione <i>S</i>-transferase
ENZRXN-20698	polyprenol reductase
ENZRXN0-5421	7-cyano-7-deazaguanine reductase
ENZRXN-15544	4&alpha;-formyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol,NAD(P)H:oxygen oxidoreductase (hydroxylating)
ENZRXN-12101	L-valine:2-oxoglutarate aminotransferase
ENZRXN-11245	myo-inositol-biphosphate phosphohydrolase
ENZRXN-12468	succinate-semialdehyde dehydrogenase
ENZRXN-21444	dCTP phosphohydrolase
ENZRXN-14083	cobalt-precorrin-7 (<i>C</i><sup>5</sup>)-methyltransferase
ENZRXN-15096	aspartyl-tRNA<sup>Asn</sup> synthetase
ENZRXN-19585	naringenin 8-dimethylallyltransferase
ENZRXN-16656	3-oxo-<i>cis</i>-&Delta;<sup>9</sup>-hexadecenoyl-[acp] reductase
ENZRXN-15176	arachidoyl-CoA hydrolase
ENZRXN-13358	quinolinate phosphoribosyltransferase (decarboxylating)
ENZRXN-12406	L-tyrosine,NADPH:oxygen oxidoreductase (N-hydroxylating)
ENZRXN-18826	4-&alpha;-glucanotransferase
ENZRXN66-19636	glucose phosphoyrlase
ENZRXN-12988	secologanin synthase
ENZRXN-12779	phospholipase A2
ENZRXN-17378	3-dehydroquinate dehydratase
ENZRXN-20511	elymoclavine monooxygenase
ENZRXN-17440	dihydrouracil dehydrogenase
ENZRXN-18503	phophonoacetaldehyde reductase
ENZRXN-18760	1-aminocyclopropane-1-carboxylate oxidase
ENZRXN-6701	4-hydroxy-tetrahydrodipicolinate reductase
ENZRXN-11526	toluene 3-monooxygenase
ENZRXN0-7206	palmitoleoyl-[acp] thioesterase
ENZRXN-14859	5-demethoxyubiquinol hydroxylase
ENZRXN-21234	quercetin 3-<i>O</i>-(6"-<i>O</i>-feruloyl)-glucoside 3"-coumaroyltransferase
ENZRXN-13913	D-xylulose-5-phosphate D-glyceraldehyde-3-phosphate-lyase (adding phosphate; acetyl-phosphate-forming)
ENZRXN-19229	xyloglucan 6-xylosyltransferase
ENZRXN-5242	ascorbate peroxidase
ENZRXN-641	formylmethanofuran dehydrogenase
ENZRXN-12458	flavanone 3&beta;-hydroxylase
HMP-P-KIN-ENZRXN	phosphohydroxymethylpyrimidine kinase
ENZRXN3O-1438	serine C-palmitoyltransferase
ENZRXNQT-7082	malate dehydrogenase
ENZRXN-12594	trans-enoyl-CoA isomerase
ENZRXN66-1200	indolethylamine <i>N</i>-methyltransferase
ENZRXN-18816	UDP phosphatase
ENZRXN-21308	GTP:adenosylcobinamide phosphotransferase
ENZRXN-17773	5-dehydro-4-deoxy-D-glucarate dehydratase
ENZRXN1G-1172	cis,cis-delta17,29-3-oxo-C48:2-[acp] reductase
ENZRXN3O-10724	nucleoside diphosphate kinase
ENZRXN-16397	cytosine permease
ENZRXN0-1505	(2<i>R</i>,3<i>S</i>)-2-methylisocitrate hydro-lyase (<i>cis</i>-2-methylaconitate-forming)
ENZRXN-6601	stemar-13-ene synthase
ENZRXN-14635	(+)-&delta;-cadinene synthase
ENZRXN-21650	naringenin 4-reductase (cv sm)
ENZRXN-10701	S-adenosyl-L-methionine:arsenite As-methyltransferase
ENZRXN-12654	acyl-CoA thioesterase
ENZRXN-15974	UDP-4-amino-4,6-dideoxy-&beta;-L-AltNAc <i>o</i>-acetyltransferase
ENZRXN-16272	2-hydroxy-5-chloromuconate tautomerase
ENZRXN-20299	trans-arachidon-2-enoyl-CoA reductase
ENZRXN3O-1389	sphinganine C4-hydroxylase
ENZRXN0-4121	proline dipeptidase
ENZRXN66-5924	3,4-dihydroxyphenylglycolaldehyde dehydrogenase
ENZRXNQT-10347	enoyl-CoA hydratase
ENZRXN-12274	L-leucine:2-oxoglutarate aminotransferase
ENZRXN-14732	&alpha;-D-glucose-1-phosphate cytidylyltransferase
ENZRXN-18123	coniferyl alcohol dehydrogenase
ENZRXN-18379	tRNA cytosine<sup>48</sup>-<i>C</i><sup>5</sup>)-methyltransferase
ENZRXN-4822	chalcone reductase
ENZRXN-16388	jasmonyl-isoleucine synthetase
ENZRXN-15086	nicotianamine synthase
ENZRXN-17144	bis(diphospho)inositol tetrakisphosphate phosphohydrolase
ENZRXN-942	D-ornithine aminomutase
ENZRXN-18648	D-sorbitol dehydrogenase
ENZRXNQT-12519	4-methylthiobutylglucosinolate S-oxygenase
ENZRXN-3007	succinate semialdehyde dehydrogenase
ENZRXN-20227	stearate decarboxylase
ENZRXN-20290	3-hydroxy-arachidoyl-CoA dehydratase
ENZRXN-17368	ureidoglycolate amidohydrolase
ENZRXN-13682	6-phosphofructokinase
ENZRXN-19139	laccase
ENZRXN66-3186	hormone-sensitive lipase
ENZRXN-6089	isoflavone 2'-hydroxylase
ENZRXN-4742	naringenin,NADPH:oxygen oxidoreductase
ENZRXN-9681	pantoate:&beta;-alanine ligase
ENZRXN-21226	isorhamnetin 3-<i>O</i>-glucoside 6"-<i>O</i>-coumaroyltransferase
ENZRXN-15509	18-hydroxyoleate peroxygenase
ENZRXN-4303	phosphoglycerate mutase
ENZRXN-15905	cis-delta9-3-hydroxyC28:1-[acyl-carrier protein] dehydratase
ENZRXN-21020	(+)-sesaminol 2-<i>O</i>-glucosyltransferase
ENZRXN-13671	&alpha;-zingiberene synthase
ENZRXN-16962	noradrenaline oxidase
ENZRXN-12585	(3S)-3-hydroxyacyl-CoA hydro-lyase
ENZRXN1G-532	3-hydroxyoctanoyl-[acp] dehydratase
ENZRXN66-4066	5&alpha;-cholesta-8,24-dien-3-one reductase
ENZRXN-19549	thiazole synthase
ENZRXN-13616	&alpha;-selinene synthase
ENZRXN-19900	L-oleandrosyl-oleandolide desosaminyltransferase
ENZRXN-15896	donor:hydrogen-peroxide oxidoreductase
ENZRXN-14625	S-adenosyl-L-methionine:2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase
ENZRXN-824	UDP-glucose:<I>p</I>-hydroxymandelonitrile-<I>O</I>-glucosyltransferase
ENZRXN-18958	laminaribiose phosphorylase
ENZRXN-16128	muconate cycloisomerase
ENZRXN-17031	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase
ENZRXN-21620	&beta;-amyrin synthase
ENZRXN-15767	long-chain acyl-CoA synthetase
CITSYN-ENZRXN	citrate synthase
ENZRXN-19891	fumarase
ENZRXNMETA-19611	&beta;-<i>N</i>-acetylglucosaminidase
ENZRXN-14408	fatty acid synthase
ENZRXN-20834	chitosanase
ENZRXN-18269	2,5-DHBA UDP-glucosyltransferase
ENZRXN-19022	butanal reductase
ENZRXN-12954	L-lysine monooxygenase
ENZRXN-19825	3-oxo-24-ethyl-cholest-4,24-dien-26-oyl-CoA carboxylase
CHD-ENZRXN	choline dehydrogenase
ENZRXN-9341	triose phosphate isomerase
ENZRXN-12040	O-succinylbenzoate synthase
ENZRXN-16752	aldehyde oxidase
ENZRXN-7063	(+)-menthofuran synthase
ENZRXN-20118	cutinase
ENZRXN-12030	O-succinylbenzoate-CoA ligase
ENZRXN-20905	chitinase
ENZRXN66-2969	inositol-1,4,5-trisphosphate 5-phosphatase
ENZRXN0-6589	2-keto-3-deoxy-L-rhamnonate aldolase
ALPHA-AMYL-PERI-ENZRXN	&alpha;-amylase
ENZRXN-13295	sulfide dehydrogenase
ENZRXN-20614	ribosyl hopane synthase
ENZRXN-13281	tetrathionate decomposing enzyme
ENZRXN-14209	2-aminomuconate deaminase
ENZRXN-16952	feruloyl-CoA synthetase
ENZRXN-3703	anthranilate synthase
ENZRXN-7642	glutamate synthase (NADH-dependent)
GSAAMINOTRANS-ENZRXN	glutamate-1-semialdehyde aminotransferase
ENZRXN-11976	gibberellin A1,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-18439	3&beta;-hydroxysteroid dehydrogenase / C4-decarboxylase
ENZRXN-1843	sucrose phosphate synthase
ENZRXN-18947	6-phosophogluco-starch phosphatase
ENZRXN-14003	glutamine synthetase
ENZRXN-16560	elisabethatriene synthase
ENZRXN-13510	&gamma;-humulene synthase
ENZRXN-14269	deacetoxycephalosporin C synthase
ENZRXN-17740	L-galactonate dehydratase
ENZRXN-13224	1-18:1-2-18:2-phosphatidylcholine desaturase
ENZRXN1F-1341	<i>trans</i> dihydroquercetin dioxygenase
ENZRXN1F-0	protochlorophyllide oxidoreductase
ENZRXN-20823	exoglucanase
ENZRXN66-1800	6-phosphofructokinase
ENZRXN-20418	isethionate monooxygenase
ENZRXN-1566	sulfate adenylyltransferase
ENZRXN-1663	1-aminocyclopropane-1-carboxylate synthase
ENZRXN0-3381	indoleglycerol phosphate aldolase
ENZRXN0-7673	amylomaltase
ENZRXN-18046	<i>N</i>-acetylglucosamine-6-sulfatase
ENZRXN-7022	<i>N<sup>2</sup></i>-acetyl-&alpha;-aminoadipate semialdehyde transaminase
ENZRXN-18055	carboxynorspermidine decarboxylase
ENZRXN-11204	myo-inositol-triphosphate phosphohydrolase
ENZRXN-1382	1-pyrroline-5-carboxylate dehydrogenase
ENZRXN-19715	androsta-4-ene-3,17-dione 9&alpha; hydroxylase
ENZRXN-2791	histidinol dehydrogenase
ENZRXN-20484	chanoclavine-I dehydrogenase
ENZRXN-14200	4-chloronitrobenzene nitroreductase
ENZRXN-15055	molybdopterin synthase
RIBONUCLEOSIDE-DIP-REDUCTI-ENZRXN	ribonucleoside-diphosphate reductase
ENZRXN-2822	glutamine synthetase
ENZRXN-12383	NADP phosphatase
ENZRXN0-6430	dCMP phosphohydrolase
ENZRXN3O-846	glutamine-dependent NAD synthase
ENZRXN-16551	1,4-dihydroxy-6-naphthoate synthase
ENZRXN-11870	pyrroline-5-carboxylate reductase
ENZRXN-13886	maleylacetate reductase
ENZRXN-17332	tryptophan 5-halogenase
ENZRXN-17990	2-hydroxy-6-oxo-6-(2'-aminophenyl)-hexa-2,4dienoate hydrolase
ENZRXN0-6449	arbutin 6-phosphate glucohydrolase
ENZRXN-15428	UDP-glucose:2-amino-4,6-dinitrotoluene-glucosyltransferase
ENZRXN-20409	sesquithujene synthase
ENZRXN-18735	(NADP)<sup>+</sup> L-rhamnofuranose 1-dehydrogenase
ENZRXN-10161	glutamate--cysteine ligase
ENZRXN-13119	UDP-L-rhamnose:kaempferol 3-O-rhamnosyltransferase
ENZRXN5F9-2435	biphenyl 2,3-dioxygenase
ENZRXN-21196	hydroperoxylinolenate reductase
ENZRXN-2563	mandelate racemase
ENZRXN-15437	UDP-glucose:2-hydroxylamino-4,6-dinitrotoluene-C-glucosyltransferase
ENZRXN-19449	hydroxyvaleryl-CoA reductase
ENZRXN-13809	guattegaumerine synthase
ENZRXN-6381	UDP-glucose:dihydrozeatin 7-N-glucosyltransferase
ENZRXN-12180	R(+)-3,4-dihydroxyphenyllactate:NADP+ oxidoreductase
ENZRXN0-7448	DD carboxypeptidase
ENZRXN-10481	biotin synthase
ENZRXN-14588	serine-glyoxylate aminotransferase
ENZRXN0-6299	exodeoxyribonuclease III
ENZRXN-21543	&beta;-maltose transporter
ENZRXN3O-685	dTDP kinase
ENZRXN-19460	hexanal dehydrogenase
ENZRXN3DJ-363	sphingosine kinase
ENZRXN-18561	L-thyroxine 5-deiodinase
O-SUCCINYLBENZOATE-COA-SYN-ENZRXN	<i>o</i>-succinylbenzoate synthase
THREDEHYDSYN-ENZRXN	threonine deaminase
ENZRXN-12246	S-2-methylbutryl-CoA:FAD oxidoreductase
ENZRXN-10082	ribulose phosphate 3-epimerase
ENZRXN-20792	endo-1,4-beta-glucanase
ENZRXN-15355	cinnamyl alcohol dehydrogenase
ENZRXN-21551	SHG &alpha;-glucan phosphorylase
ENZRXN-16210	L-tryptophan:2-oxoglutarate aminotransferase
ENZRXN-12876	lysine-ketoglutarate reductase
ENZRXN-5541	glutaryl-CoA dehydrogenase
ENZRXN-12167	magnesium protoporphyrin IX methyltransferase
ENZRXN-17889	lychnose synthase
ENZRXN-18622	L-arabinose reductase
ENZRXNCEQ-3309	dihydrolipoamide dehydrogenase
ENZRXN-17603	polyvinyl alcohol dehydrogenase
TRANS-ENZRXN-155	chitobiose / cellobiose PTS permease
ENZRXN-14968	mugineic-acid 3-dioxygenase
ENZRXN-18551	24-methylenelophenol methyl oxidase
ENZRXN-18349	acetoacetyl-[acp] synthase
ENZRXN1G-168	trans-docos-2-enoyl-[acyl-carrier protein] reductase (NADPH, B-specific)
ENZRXN-21768	3-oxo-(11Z)-eicos-11-enoyl-CoA synthase
ENZRXN-601	ethylnitronate monooxygenase
ENZRXN-9122	UDP-galactose 4-epimerase
ENZRXN-19394	nitric oxide synthase
ENZRXN-12887	thioglucoside glucohydrolase
GALPMUT-ENZRXN	UDP-galactopyranose mutase
ENZRXN-5443	isoflavone-7-O-glucoside-6''-O-malonate malonylesterase
ENZRXN-20205	5''-phosphoribostamycin phosphatase
ENZRXN-16036	high-affinity potassium uptake transporter
ENZRXN0-6146	ATP-dependent DNA helicase
ENZRXN1G-422	cis-delta9-C28:1-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
ENZRXN66-2528	&gamma;-glutamyltransferase
ENZRXN-21486	3-hexaprenyl-4-aminobenzoate monooxygenase
ENZRXN-17663	sphinganine N-acyltransferase
ENZRXN1G-1649	arabinogalactan:trehalose-cis-keto-mycolate mycolyltransferase
ENZRXN-14977	(4S)-limonene-1,2-epoxide hydrolase
ENZRXN-424	precorrin-6A reductase
ENZRXN-18180	<i>R</i>-sulfolactate sulfo-lyase
ENZRXN-15222	&beta;-ketodecanoyl-[acp] synthase
ENZRXN0-259	NADH oxidoreductase
ENZRXN-161	butanol dehydrogenase
ENZRXN-16027	acyl-homoserine-lactone synthase
ENZRXN-12555	4-hydroxyphenylpyruvate dioxygenase
